"ADDRESS_ZIP_CODE","AGG_NUM_VEHICLES","AVG_HOUSEHOLD_SIZE","MED_GROSS_RENT","MED_HOUSING_COST","MED_INCOME","MED_YEAR_BUILT","MONTHLY_OWNER_COSTS","NO_INTERNET","TOTAL_POP"
"13421",5070,2.36,780,849,55652,1952,3481,776,12899
"13424",880,2.13,879,1083,65875,1956,693,88,2383
"13425",725,2.44,736,898,55795,1961,649,200,2035
"13428",525,2.17,442,777,55677,1972,424,123,1369
"13431",770,2.74,836,1035,78370,1973,550,58,1769
"13433",495,2.65,625,644,50417,1973,487,71,1557
"13435",90,3.34,NA,637,54500,0,96,7,354
"13436",20,1.48,NA,685,76875,1971,29,5,63
"13437",110,2.54,NA,625,56528,1982,110,21,297
"13438",1110,2.33,749,987,64583,1973,1046,141,2951
"13439",1445,2.68,717,830,50833,1952,1097,256,3777
"13440",13930,2.34,793,840,59486,1956,10824,2052,41215
"13441",NA,1.36,850,850,NA,1981,0,0,160
"13450",90,2.8,NA,760,53333,1955,81,0,286
"13452",1730,2.61,725,738,56307,1956,1402,307,4881
"13454",280,2.22,NA,524,78250,0,343,24,820
"13455",NA,3.24,NA,1087,NA,1971,13,0,55
"13456",1765,2.6,696,1103,79625,1970,1245,67,3904
"13457",NA,1.57,NA,778,NA,0,7,9,36
"13459",740,2.52,892,912,59349,1955,574,121,2022
"13460",1700,2.61,673,755,55422,1973,1277,189,4256
"13461",1305,2.45,905,885,80179,1949,935,117,3194
"13464",505,2.36,942,532,50377,1971,479,158,1324
"13468",140,2.96,647,648,50521,1945,58,11,358
